YEAR,WHO Region,Income Group,Funder Type,Risk F,Funding
2010,Africa,Lower middle income,Bilaterals,.,0.02396048
2010,Africa,Low income,Bilaterals,.,0.024828208
2010,Africa,Low income,Bilaterals,.,0.027859895
2010,Africa,Lower middle income,Bilaterals,.,0.025120186
2010,Africa,Low income,Bilaterals,.,0.028266474
2010,Americas,Upper middle income,Bilaterals,.,0.025688688
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.025688688
2010,Not applicable,Not applicable,Bilaterals,.,0.026623689
2010,Americas,Upper middle income,Bilaterals,1,0.026707702
2010,Europe,Lower middle income,Bilaterals,.,0.026508593
2010,Not applicable,Not applicable,Bilaterals,.,0.029234369
2010,Americas,Upper middle income,Bilaterals,.,0.026564337
2010,Africa,Low income,Bilaterals,.,0.027087351
2010,Africa,Low income,Bilaterals,.,0.026774437
2010,Not applicable,Not applicable,Bilaterals,.,0.026805587
2010,Americas,Upper middle income,Bilaterals,.,0.027326062
2010,Europe,Lower middle income,Bilaterals,.,0.027722842
2010,Americas,Upper middle income,Bilaterals,.,0.027362909
2010,Africa,Low income,Bilaterals,.,0.024905478
2010,Africa,Low income,Bilaterals,.,0.028045524
2010,Americas,Upper middle income,Bilaterals,.,0.028090022
2010,Africa,Low income,Bilaterals,.,0.028139847
2010,Africa,Lower middle income,Bilaterals,.,0.03251825
2010,Africa,Low income,Bilaterals,.,0.007351129
2010,South-East Asia,Lower middle income,Bilaterals,.,0.030649502
2010,South-East Asia,Low income,Bilaterals,8,0.026252995
2010,Americas,Not applicable,Bilaterals,.,0.009891119
2010,Africa,Low income,Bilaterals,.,0.029524824
2010,Not applicable,Not applicable,Bilaterals,.,0.02931234
2010,South-East Asia,Lower middle income,Bilaterals,.,0.02931234
2010,Africa,Low income,Bilaterals,.,0.026821051
2010,Europe,Lower middle income,Bilaterals,.,0.030495119
2010,Africa,Low income,Bilaterals,.,0.027508771
2010,South-East Asia,Low income,Bilaterals,.,0.027508771
2010,Americas,Lower middle income,Bilaterals,.,0.030647721
2010,Eastern Mediterranean,Upper middle income,Bilaterals,.,0.030953832
2010,Africa,Low income,Bilaterals,.,0.033212668
2010,Western Pacific,Lower middle income,Bilaterals,.,0.010879671
2010,South-East Asia,Lower middle income,Bilaterals,.,0.017062099
2010,Western Pacific,Upper middle income,Bilaterals,.,0.032636323
2010,Not applicable,Not applicable,Bilaterals,.,0.033506984
2010,Europe,Lower middle income,Bilaterals,.,0.035890125
2010,Africa,Not applicable,Bilaterals,2,0.011725401
2010,Africa,Not applicable,Bilaterals,.,0.035378581
2010,Africa,Low income,Bilaterals,.,0.011868223
2010,Africa,Low income,Bilaterals,.,0.034941482
2010,Eastern Mediterranean,Upper middle income,Bilaterals,.,0.037121711
2010,Africa,Lower middle income,Bilaterals,.,0.031743883
2010,Americas,Upper middle income,Bilaterals,.,0.036007931
2010,Western Pacific,Upper middle income,Bilaterals,3,0.034962191
2010,South-East Asia,Low income,Bilaterals,.,0.032352928
2010,Africa,Lower middle income,Bilaterals,.,0.040490178
2010,Western Pacific,Upper middle income,Bilaterals,.,0.035721176
2010,Americas,Upper middle income,Bilaterals,.,0.03704615
2010,Africa,Low income,Bilaterals,.,0.037257087
2010,Africa,Lower middle income,Bilaterals,.,0.037646182
2010,Africa,Not applicable,Bilaterals,.,0.033842115
2010,Eastern Mediterranean,Low income,Bilaterals,.,0.037631442
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.034385963
2010,Africa,Low income,Bilaterals,.,0.013848127
2010,Not applicable,Not applicable,Bilaterals,.,0.041830025
2010,South-East Asia,Upper middle income,Bilaterals,.,0.040437608
2010,Africa,Low income,Bilaterals,.,0.042594542
2010,Not applicable,Not applicable,Bilaterals,.,0.042796017
2010,Western Pacific,Upper middle income,Bilaterals,7,0.042443157
2010,Africa,Low income,Bilaterals,.,0.043222805
2010,Africa,Low income,Bilaterals,.,0.011026694
2010,Africa,Not applicable,Bilaterals,.,0.011026694
2010,Americas,Lower middle income,Bilaterals,.,0.043284322
2010,South-East Asia,Lower middle income,Bilaterals,.,0.046367107
2010,Western Pacific,Not applicable,Bilaterals,.,0.046369222
2010,Africa,Upper middle income,Bilaterals,.,0.04950568
2010,Western Pacific,Lower middle income,Bilaterals,.,0.047845579
2010,Americas,Upper middle income,Bilaterals,.,0.054501117
2010,Africa,Lower middle income,Bilaterals,.,0.054221853
2010,South-East Asia,Lower middle income,Bilaterals,.,0.050575768
2010,Americas,Upper middle income,Bilaterals,.,0.05288926
2010,South-East Asia,Low income,Bilaterals,.,0.05098352
2010,South-East Asia,Lower middle income,Bilaterals,.,0.05434961
2010,Europe,Upper middle income,Bilaterals,4,0.051491007
2010,Americas,Upper middle income,Bilaterals,.,0.051935825
2010,Africa,Not applicable,Bilaterals,.,0.047687692
2010,Western Pacific,Upper middle income,Bilaterals,.,0.047942286
2010,Americas,Upper middle income,Bilaterals,.,0.054448849
2010,Europe,Lower middle income,Bilaterals,.,0.029210471
2010,South-East Asia,Lower middle income,Bilaterals,4,0.050134735
2010,Africa,Lower middle income,Bilaterals,.,0.058565395
2010,Europe,Lower middle income,Bilaterals,.,0.017330526
2010,Africa,Low income,Bilaterals,.,0.014702258
2010,Africa,Low income,Bilaterals,.,0.014702258
2010,Africa,Low income,Bilaterals,.,0.014702258
2010,Not applicable,Not applicable,Bilaterals,1,0.059145084
2010,South-East Asia,Upper middle income,Bilaterals,.,0.061934326
2010,Not applicable,Not applicable,Bilaterals,.,0.058624681
2010,Africa,Low income,Bilaterals,.,0.059614527
2010,Africa,Low income,Bilaterals,.,0.060465741
2010,Europe,Lower middle income,Bilaterals,.,0.062098465
2010,Americas,Upper middle income,Bilaterals,.,0.065435005
2010,Eastern Mediterranean,Low income,Bilaterals,.,0.065736002
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.062752451
2010,Africa,Low income,Bilaterals,.,0.063891814
2010,Americas,Upper middle income,Bilaterals,.,0.066543677
2010,Americas,Upper middle income,Bilaterals,.,0.067093342
2010,Eastern Mediterranean,Upper middle income,Bilaterals,.,0.067778335
2010,Africa,Low income,Bilaterals,.,0.066933081
2010,Africa,Low income,Bilaterals,.,0.067854904
2010,Not applicable,Not applicable,Bilaterals,.,0.06810414
2010,South-East Asia,Low income,Bilaterals,.,0.070077622
2010,Europe,Low income,Bilaterals,.,0.073947137
2010,Western Pacific,Lower middle income,Bilaterals,.,0.069806385
2010,Europe,Lower middle income,Bilaterals,.,0.069707092
2010,Europe,Upper middle income,Bilaterals,.,0.070746275
2010,Africa,Low income,Bilaterals,.,0.023739246
2010,South-East Asia,Lower middle income,Bilaterals,.,0.070349617
2010,Not applicable,Not applicable,Bilaterals,.,0.07632277
2010,Africa,Lower middle income,Bilaterals,.,0.024873198
2010,Americas,Lower middle income,Bilaterals,.,0.075569607
2010,Western Pacific,Lower middle income,Bilaterals,.,0.075611614
2010,Western Pacific,Lower middle income,Bilaterals,.,0.074545539
2010,Africa,Low income,Bilaterals,.,0.068771927
2010,Americas,Upper middle income,Bilaterals,.,0.080808486
2010,Americas,Upper middle income,Bilaterals,.,0.081189998
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.081994476
2010,Europe,Low income,Bilaterals,.,0.08733382
2010,Europe,Lower middle income,Bilaterals,.,0.082563497
2010,Americas,Upper middle income,Bilaterals,.,0.082685491
2010,Americas,Upper middle income,Bilaterals,.,0.082699994
2010,Africa,Low income,Bilaterals,.,0.070514882
2010,Europe,Upper middle income,Bilaterals,.,0.08275118
2010,South-East Asia,Lower middle income,Bilaterals,.,0.079484609
2010,Americas,Upper middle income,Bilaterals,6,0.082825401
2010,Americas,Upper middle income,Bilaterals,.,0.082825401
2010,South-East Asia,Lower middle income,Bilaterals,.,0.078430213
2010,South-East Asia,Lower middle income,Bilaterals,.,0.083843506
2010,Americas,Upper middle income,Bilaterals,.,0.08365577
2010,Africa,Lower middle income,Bilaterals,.,0.076039056
2010,Western Pacific,Lower middle income,Bilaterals,.,0.083251357
2010,South-East Asia,Lower middle income,Bilaterals,.,0.08534581
2010,Africa,Low income,Bilaterals,.,0.079912979
2010,Americas,Upper middle income,Bilaterals,.,0.100030145
2010,South-East Asia,Low income,Bilaterals,1,0.091422842
2010,Africa,Lower middle income,Bilaterals,.,0.092027735
2010,South-East Asia,Low income,Bilaterals,.,0.093402956
2010,Europe,Upper middle income,Bilaterals,.,0.099084413
2010,Europe,Lower middle income,Bilaterals,6,0.024198761
2010,Africa,Low income,Bilaterals,.,0.10039542
2010,Africa,Upper middle income,Bilaterals,.,0.100043282
2010,South-East Asia,Low income,Bilaterals,.,0.112723482
2010,Americas,Upper middle income,Bilaterals,.,0.100520952
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.104045979
2010,South-East Asia,Low income,Bilaterals,1,0.105567391
2010,Africa,Low income,Bilaterals,.,0.11855485
2010,Americas,Lower middle income,Bilaterals,.,0.105491155
2010,Africa,Not applicable,Bilaterals,1,0.107763352
2010,Africa,Low income,Bilaterals,.,0.108460659
2010,South-East Asia,Lower middle income,Bilaterals,.,0.097656136
2010,Americas,Lower middle income,Bilaterals,.,0.112136706
2010,Eastern Mediterranean,Upper middle income,Bilaterals,.,0.112670891
2010,Africa,Low income,Bilaterals,4,0.102674011
2010,Africa,Low income,Bilaterals,.,0.115479708
2010,Africa,Upper middle income,Bilaterals,.,0.123997309
2010,South-East Asia,Lower middle income,Bilaterals,.,0.117249362
2010,Africa,Low income,Bilaterals,.,0.106313834
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.130800756
2010,South-East Asia,Lower middle income,Bilaterals,.,0.04220977
2010,Africa,Low income,Bilaterals,.,0.142369402
2010,Africa,Low income,Bilaterals,.,0.116912275
2010,Europe,Lower middle income,Bilaterals,.,0.132587484
2010,Africa,Low income,Bilaterals,.,0.133637343
2010,Western Pacific,Lower middle income,Bilaterals,.,0.161691316
2010,Western Pacific,Upper middle income,Bilaterals,.,0.163006233
2010,Western Pacific,Lower middle income,Bilaterals,.,0.134842505
2010,South-East Asia,Lower middle income,Bilaterals,.,0.136886079
2010,Americas,Lower middle income,Bilaterals,.,0.142963132
2010,Americas,Upper middle income,Bilaterals,1,0.148383591
2010,Western Pacific,Lower middle income,Bilaterals,1,0.14882886
2010,Western Pacific,Lower middle income,Bilaterals,.,0.144203851
2010,Africa,Lower middle income,Bilaterals,.,0.135505591
2010,Americas,Upper middle income,Bilaterals,.,0.15059714
2010,Not applicable,Not applicable,Bilaterals,.,0.137543853
2010,South-East Asia,Low income,Bilaterals,.,0.13810517
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.156527898
2010,Europe,Upper middle income,Bilaterals,.,0.158286638
2010,Africa,Not applicable,Bilaterals,.,0.144462172
2010,South-East Asia,Low income,Bilaterals,.,0.169036522
2010,Western Pacific,Lower middle income,Bilaterals,.,0.171668934
2010,Western Pacific,Upper middle income,Bilaterals,.,0.175874043
2010,Africa,Low income,Bilaterals,.,0.163794098
2010,Eastern Mediterranean,Low income,Bilaterals,.,0.164840944
2010,Eastern Mediterranean,Low income,Bilaterals,.,0.186982205
2010,Africa,Lower middle income,Bilaterals,.,0.169591571
2010,Americas,Lower middle income,Bilaterals,.,0.187626824
2010,Africa,Low income,Bilaterals,4,0.171149255
2010,Americas,Lower middle income,Bilaterals,.,0.195330002
2010,South-East Asia,Lower middle income,Bilaterals,.,0.191632357
2010,Europe,Lower middle income,Bilaterals,.,0.202284879
2010,Eastern Mediterranean,Upper middle income,Bilaterals,.,0.203072427
2010,Americas,Lower middle income,Bilaterals,.,0.212523608
2010,Europe,Lower middle income,Bilaterals,.,0.218560164
2010,Africa,Not applicable,Bilaterals,.,0.203564903
2010,Europe,Lower middle income,Bilaterals,.,0.230702396
2010,Europe,Low income,Bilaterals,.,0.243805452
2010,South-East Asia,Lower middle income,Bilaterals,.,0.234498723
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.212940855
2010,Europe,Lower middle income,Bilaterals,.,0.220070165
2010,Africa,Low income,Bilaterals,.,0.244233938
2010,Africa,Lower middle income,Bilaterals,.,0.2608185
2010,South-East Asia,Lower middle income,Bilaterals,.,0.263811064
2010,Africa,Low income,Bilaterals,.,0.265762207
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.281299129
2010,Americas,Upper middle income,Bilaterals,.,0.289998966
2010,Western Pacific,Not applicable,Bilaterals,.,0.290284157
2010,Americas,Upper middle income,Bilaterals,.,0.302919889
2010,Africa,Low income,Bilaterals,.,0.275087707
2010,Europe,Upper middle income,Bilaterals,.,0.312295387
2010,Americas,Lower middle income,Bilaterals,8,0.015941905
2010,Europe,Lower middle income,Bilaterals,.,0.318054598
2010,Europe,Upper middle income,Bilaterals,.,0.326894715
2010,Africa,Low income,Bilaterals,.,0.295994372
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.117095031
2010,Europe,Lower middle income,Bilaterals,.,0.36426694
2010,Africa,Lower middle income,Bilaterals,.,0.392900661
2010,Americas,Low income,Bilaterals,.,0.40326194
2010,Africa,Low income,Bilaterals,.,0.359677176
2010,South-East Asia,Lower middle income,Bilaterals,.,0.394482458
2010,Europe,Lower middle income,Bilaterals,.,0.434990104
2010,Africa,Low income,Bilaterals,.,0.468521996
2010,Western Pacific,Lower middle income,Bilaterals,.,0.488007396
2010,Not applicable,Not applicable,Bilaterals,4,0.466965646
2010,South-East Asia,Lower middle income,Bilaterals,4,0.467924189
2010,Africa,Upper middle income,Bilaterals,.,0.559513564
2010,Americas,Lower middle income,Bilaterals,.,0.591753442
2010,Americas,Low income,Bilaterals,.,0.604892909
2010,Not applicable,Not applicable,Bilaterals,1,0.669053885
2010,Not applicable,Not applicable,Bilaterals,.,0.304968317
2010,Americas,Lower middle income,Bilaterals,.,0.6250584
2010,Africa,Not applicable,Bilaterals,.,0.689744247
2010,Europe,Upper middle income,Bilaterals,.,0.727439344
2010,Americas,Low income,Bilaterals,.,0.705708394
2010,Not applicable,Not applicable,Bilaterals,.,0.83676533
2010,Americas,Lower middle income,Bilaterals,.,0.598754994
2010,Americas,Upper middle income,Bilaterals,.,0.809899966
2010,Europe,Lower middle income,Bilaterals,.,0.756491193
2010,Africa,Not applicable,Bilaterals,.,0.967179013
2010,Not applicable,Not applicable,Bilaterals,.,0.936750688
2010,Europe,Lower middle income,Bilaterals,.,1.073620331
2010,Africa,Low income,Bilaterals,.,0.987394395
2010,Not applicable,Not applicable,Bilaterals,.,0.962806973
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,1.31088526
2010,Europe,Upper middle income,Bilaterals,.,1.372069665
2010,Western Pacific,Not applicable,Bilaterals,.,1.528194045
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,2.17052927
2010,Americas,Upper middle income,Bilaterals,.,2.805909067
2010,Western Pacific,Not applicable,Bilaterals,.,4.023721071
2010,Europe,Lower middle income,Bilaterals,.,2.002222949
2010,Africa,Low income,Bilaterals,.,11.42091567
2010,Eastern Mediterranean,Lower middle income,Multilaterals,.,0.007400029
2010,Europe,Lower middle income,Multilaterals,.,0.01644555
2010,Europe,Lower middle income,Multilaterals,.,0.018777521
2010,Europe,Lower middle income,Multilaterals,.,0.019428162
2010,Eastern Mediterranean,Low income,Multilaterals,.,0.01996374
2010,Eastern Mediterranean,Upper middle income,Multilaterals,.,0.024577906
2010,Eastern Mediterranean,Low income,Multilaterals,.,0.028644217
2010,Europe,Lower middle income,Multilaterals,.,0.037555041
2010,South-East Asia,Lower middle income,Multilaterals,.,0.046943801
2010,Eastern Mediterranean,Low income,Multilaterals,.,0.052414131
2010,Europe,Not applicable,Multilaterals,.,0.057199959
2010,Africa,Low income,Multilaterals,.,0.065802123
2010,Africa,Lower middle income,Multilaterals,.,0.052961333
2010,Europe,Upper middle income,Multilaterals,.,0.093504765
2010,Europe,Lower middle income,Multilaterals,.,0.119229064
2010,Americas,Upper middle income,Multilaterals,.,0.140831404
2010,Europe,Lower middle income,Multilaterals,.,0.070373522
2010,Western Pacific,Low income,Multilaterals,.,0.143448043
2010,Europe,Lower middle income,Multilaterals,.,0.149981258
2010,Africa,Low income,Multilaterals,.,0.158366437
2010,Africa,Low income,Multilaterals,.,0.054409857
2010,Western Pacific,Lower middle income,Multilaterals,.,0.179082099
2010,South-East Asia,Low income,Multilaterals,.,0.191580342
2010,South-East Asia,Lower middle income,Multilaterals,.,0.200608283
2010,Africa,Low income,Multilaterals,.,0.232138101
2010,Western Pacific,Lower middle income,Multilaterals,.,0.243384058
2010,Western Pacific,Lower middle income,Multilaterals,.,0.273911227
2010,Americas,Upper middle income,Multilaterals,.,0.280549454
2010,Americas,Upper middle income,Multilaterals,.,0.292958624
2010,Eastern Mediterranean,Upper middle income,Multilaterals,.,0.418184885
2010,South-East Asia,Low income,Multilaterals,.,0.418325493
2010,Africa,Low income,Multilaterals,.,0.463892793
2010,Americas,Upper middle income,Multilaterals,.,0.642653927
2010,Africa,Not applicable,Multilaterals,.,0.800044589
2010,Eastern Mediterranean,Low income,Multilaterals,.,1.238803702
2010,Not applicable,Not applicable,Bilaterals,.,0.040898472
2010,Europe,Lower middle income,Bilaterals,.,0.137386191
2010,Europe,Lower middle income,Bilaterals,.,0.227248188
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.237722489
2010,Eastern Mediterranean,Lower middle income,Bilaterals,.,0.253059433
2010,Africa,Not applicable,Bilaterals,2,0.006701429
2010,Americas,Not applicable,Bilaterals,2,0.000744914
2011,Africa,Low income,Bilaterals,.,0.016941459
2011,Africa,Low income,Bilaterals,.,0.009011061
2011,South-East Asia,Upper middle income,Bilaterals,.,0.000082163
2011,Americas,Lower middle income,Bilaterals,.,0.000098259
2011,Africa,Low income,Bilaterals,1,0.000406873
2011,Africa,Lower middle income,Bilaterals,1,0.000406873
2011,Africa,Low income,Bilaterals,1,0.000406873
2011,Africa,Low income,Bilaterals,1,0.000406873
2011,Americas,Upper middle income,Bilaterals,2,0.002162065
2011,Americas,Upper middle income,Bilaterals,4,0.001214981
2011,Americas,Upper middle income,Bilaterals,4,0.001214981
2011,Americas,Lower middle income,Bilaterals,4,0.001214981
2011,Americas,Upper middle income,Bilaterals,4,0.001214981
2011,Americas,Upper middle income,Bilaterals,4,0.001214981
2011,South-East Asia,Lower middle income,Bilaterals,.,0.000466548
2011,Americas,Upper middle income,Bilaterals,.,0.001563208
2011,Western Pacific,Lower middle income,Bilaterals,.,0.002817099
2011,Europe,Upper middle income,Multilaterals,.,1.196788397
2011,Western Pacific,Lower middle income,Bilaterals,.,0.283189659
2011,Africa,Low income,Bilaterals,7,0.056026477
2011,Africa,Low income,Bilaterals,7,0.056026477
2011,Africa,Low income,Bilaterals,.,0.004841671
2011,Eastern Mediterranean,Low income,Multilaterals,.,0.745276444
2011,Africa,Low income,Bilaterals,.,0.227782953
2011,Europe,Upper middle income,Multilaterals,.,0.625809002
2011,Europe,Upper middle income,Multilaterals,.,0.582068741
2011,Americas,Not applicable,Bilaterals,.,0.001396932
2011,Americas,Lower middle income,Bilaterals,.,0.004242993
2011,Not applicable,Not applicable,Bilaterals,.,0.004353016
2011,Not applicable,Not applicable,Bilaterals,.,0.004466308
2011,Americas,Upper middle income,Bilaterals,.,0.004535223
2011,Africa,Low income,Bilaterals,.,0.003235471
2011,Americas,Lower middle income,Bilaterals,.,0.004636006
2011,Africa,Lower middle income,Bilaterals,.,0.005717693
2011,Europe,Upper middle income,Bilaterals,.,0.005197728
2011,South-East Asia,Lower middle income,Bilaterals,.,0.005232989
2011,Europe,Lower middle income,Bilaterals,.,0.047698154
2011,Americas,Lower middle income,Bilaterals,.,0.005331298
2011,Not applicable,Not applicable,Multilaterals,.,0.450823927
2011,Americas,Not applicable,Bilaterals,.,0.001860768
2011,Africa,Not applicable,Bilaterals,1,0.00598104
2011,Africa,Not applicable,Bilaterals,1,0.006021727
2011,Western Pacific,Not applicable,Bilaterals,.,0.006126357
2011,Not applicable,Not applicable,Bilaterals,.,0.006384923
2011,Western Pacific,Lower middle income,Bilaterals,.,0.003490974
2011,South-East Asia,Upper middle income,Bilaterals,.,0.003490974
2011,Americas,Not applicable,Bilaterals,.,0.002327316
